fid,author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,text_place_title,temporality,narrative_status,interaction,specific_interaction,violence,harmony,conflict,character_id,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,char_story_title,place_name,location_modality,location_religion,relig_att_loc,geolocation,ontology,location_name,mentioned,location_country,collection_id,collection_recordtitle,author_birth_location,gender_author,country_of_birth_author,birth_date,text_place_id,location_id,author_id,author_birth_place_id
"1216","Sarna, Mohinder Singh",A New Taj Mahal,"5180","30","33","3",The next morning I took Sayadat with me and roamed around,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3880",Unknown,Shabir's Mother,NA,"31",Female,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Unknown, Shabir's Mother in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1217","Sarna, Mohinder Singh",A New Taj Mahal,"5180","30","33","3",The next morning I took Sayadat with me and roamed around,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3900",Unknown,Naeem,NA,"32",Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Unknown, Naeem in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1218","Sarna, Mohinder Singh",A New Taj Mahal,"5180","30","33","3",The next morning I took Sayadat with me and roamed around,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3901",Unknown,Naheed,NA,"32",Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Unknown, Naheed in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1219","Sarna, Mohinder Singh",A New Taj Mahal,"5181","33","34","2",In the evening when I went to Abdul Sattar’s house to pick up my baggage,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3172",Narrator,Unknown,NA,"25",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Narrator, Unknown in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1220","Sarna, Mohinder Singh",A New Taj Mahal,"5181","33","34","2",In the evening when I went to Abdul Sattar’s house to pick up my baggage,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3355",Sattar,Father,NA,"29",Male,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Sattar, Father in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1221","Sarna, Mohinder Singh",A New Taj Mahal,"5181","33","34","2",In the evening when I went to Abdul Sattar’s house to pick up my baggage,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"3832",Sattar,Sayadat,NA,"30",Male,Single,Muslim,Speculation,NA,NA,NA,NA,Pakistan,Present,"Sattar, Sayadat in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1222","Sarna, Mohinder Singh",A New Taj Mahal,"5181","33","34","2",In the evening when I went to Abdul Sattar’s house to pick up my baggage,Rawalpindi in A New Taj Mahal,NA,Narrated,NA,NA,NA,Interpersonal,NA,"5378",Englishman,Unknown,NA,"25",Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Englishman, Unknown in A New Taj Mahal",Rawalpindi,Geographical reference,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"5172","33","3152","3108"
"1223","Manto, Saadat Hasan",A Girl from Delhi,"5204","94","94","4",But that was the difficult bit,Delhi in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,Interpersonal,"4379",Akhtar,Nasim,NA,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Akhtar, Nasim in A Girl from Delhi",Delhi,Geographical reference,NA,NA,TRUE,NA,Delhi,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4374","3108","3156","3157"
"1224","Manto, Saadat Hasan",A Girl from Delhi,"5204","94","94","4",But that was the difficult bit,Delhi in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,Interpersonal,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Delhi,Geographical reference,NA,NA,TRUE,NA,Delhi,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4374","3108","3156","3157"
"1225","Manto, Saadat Hasan",A Girl from Delhi,"5212","95","95","2","The burri bai, herself the toast of Delhi",Delhi in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Delhi,Geographical reference,NA,NA,TRUE,NA,Delhi,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4374","3108","3156","3157"
"1226","Manto, Saadat Hasan",A Girl from Delhi,"5212","95","95","2","The burri bai, herself the toast of Delhi",Delhi in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Delhi,Geographical reference,NA,NA,TRUE,NA,Delhi,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4374","3108","3156","3157"
"1227","Manto, Saadat Hasan",A Girl from Delhi,"5213","95","95","3",He came the next morning and Nasim Akhtar’s mother,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1228","Manto, Saadat Hasan",A Girl from Delhi,"5213","95","95","3",He came the next morning and Nasim Akhtar’s mother,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1229","Manto, Saadat Hasan",A Girl from Delhi,"5215","95","95","4","Sethji, I need a favour from you",Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1230","Manto, Saadat Hasan",A Girl from Delhi,"5215","95","95","4","Sethji, I need a favour from you",Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1231","Manto, Saadat Hasan",A Girl from Delhi,"5217","95","95","5",No trouble at all. I can speak to,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1232","Manto, Saadat Hasan",A Girl from Delhi,"5217","95","95","5",No trouble at all. I can speak to,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1233","Manto, Saadat Hasan",A Girl from Delhi,"5218","95","95","6",Perhaps I will drop in myself this evening,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1234","Manto, Saadat Hasan",A Girl from Delhi,"5218","95","95","6",Perhaps I will drop in myself this evening,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4380",Mother of Nasim Akhtar,Unknown,Burri bai,"94",Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,"Mother of Nasim Akhtar, Unknown in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1235","Manto, Saadat Hasan",A Girl from Delhi,"5219","95","95","7","After the seth’s departure, the house was given",Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4660",Prakash,Gobind,Seth|Sethji,"95",Male,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Prakash, Gobind in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1236","Manto, Saadat Hasan",A Girl from Delhi,"5220","95","96","8",While the final touches were still being given,Nasim Akhtar's kotha in A Girl from Delhi,NA,Narrated,NA,NA,NA,NA,NA,"4664",Servant at kotha,Unknown,NA,"95",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Servant at kotha, Unknown in A Girl from Delhi",Nasim Akhtar's kotha,Liminal,Muslim,NA,CREATED,Invented,Garstin Bastion Road,NA,India,"3168","Manto, Saadat Hasan - Mottled Dawn",Ludhiana,Male,British India,NA,"4376","6811","3156","3157"
"1237","Sarna, Mohinder Singh",Basant The Fool,"5222","45","46","3",The government would soon hand over the planes.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1238","Sarna, Mohinder Singh",Basant The Fool,"5223","46","46","1",So after my aunt’s family and her in-laws,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1239","Sarna, Mohinder Singh",Basant The Fool,"5223","46","46","1",So after my aunt’s family and her in-laws,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"3317",Aunt,Unknown,NA,"44",Female,Single,Sikh,Other-identified,NA,NA,NA,NA,India,Present,"Aunt, Unknown in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1240","Sarna, Mohinder Singh",Basant The Fool,"5224","46","47","2",But I was embarrassed by the repeated appeals.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1241","Sarna, Mohinder Singh",Basant The Fool,"5224","46","47","2",But I was embarrassed by the repeated appeals.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"4611",Kirpa Ram,Kanta,NA,"46",Female,Single,Sikh,Definitional,NA,NA,NA,NA,British India,Present,"Kirpa Ram, Kanta in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1242","Sarna, Mohinder Singh",Basant The Fool,"5224","46","47","2",But I was embarrassed by the repeated appeals.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"3890",Kirpa Ram,Pandit,NA,"46",Male,Single,Sikh,Definitional,NA,NA,NA,NA,India,Present,"Kirpa Ram, Pandit in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1243","Sarna, Mohinder Singh",Basant The Fool,"5224","46","47","2",But I was embarrassed by the repeated appeals.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"3904",Pandit Kirpa Ram's wife,Unknown,NA,"46",Female,Single,Sikh,Definitional,NA,NA,NA,NA,India,Present,"Pandit Kirpa Ram's wife, Unknown in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1244","Sarna, Mohinder Singh",Basant The Fool,"5225","47","47","1","Suddenly someone shouted, ‘I will give",Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Interpersonal,"4616",Unknown,Basant,NA,"47",Male,Single,Unknown,Speculation,NA,Dies,Killed (non-military),NA,British India,Present,"Unknown, Basant in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1245","Sarna, Mohinder Singh",Basant The Fool,"5226","47","47","2",His mother did not say anything.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,Interpersonal,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1246","Sarna, Mohinder Singh",Basant The Fool,"5226","47","47","2",His mother did not say anything.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,Interpersonal,NA,"4616",Unknown,Basant,NA,"47",Male,Single,Unknown,Speculation,NA,Dies,Killed (non-military),NA,British India,Present,"Unknown, Basant in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1247","Sarna, Mohinder Singh",Basant The Fool,"5226","47","47","2",His mother did not say anything.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,Interpersonal,NA,"4611",Kirpa Ram,Kanta,NA,"46",Female,Single,Sikh,Definitional,NA,NA,NA,NA,British India,Present,"Kirpa Ram, Kanta in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1248","Sarna, Mohinder Singh",Basant The Fool,"5226","47","47","2",His mother did not say anything.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,Interpersonal,NA,"3890",Kirpa Ram,Pandit,NA,"46",Male,Single,Sikh,Definitional,NA,NA,NA,NA,India,Present,"Kirpa Ram, Pandit in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1249","Sarna, Mohinder Singh",Basant The Fool,"5226","47","47","2",His mother did not say anything.,Rawalpindi in Basant The Fool,NA,Remembered,NA,NA,NA,Interpersonal,NA,"3904",Pandit Kirpa Ram's wife,Unknown,NA,"46",Female,Single,Sikh,Definitional,NA,NA,NA,NA,India,Present,"Pandit Kirpa Ram's wife, Unknown in Basant The Fool",Rawalpindi,Geographical reference,Sikh,Other-identified,TRUE,NA,Rawalpindi,TRUE,Pakistan,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4846","33","3152","3108"
"1250","Sarna, Mohinder Singh",Basant The Fool,"5228","47","47","3","Lost in these thoughts,",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1251","Sarna, Mohinder Singh",Basant The Fool,"5228","47","47","3","Lost in these thoughts,",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1252","Sarna, Mohinder Singh",Basant The Fool,"5233","47","48","4","When she had finished, I walked up to her",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1253","Sarna, Mohinder Singh",Basant The Fool,"5233","47","48","4","When she had finished, I walked up to her",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1254","Sarna, Mohinder Singh",Basant The Fool,"5234","48","48","1","‘Basant is no more’, she sobbed",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1255","Sarna, Mohinder Singh",Basant The Fool,"5234","48","48","1","‘Basant is no more’, she sobbed",Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1256","Sarna, Mohinder Singh",Basant The Fool,"5235","48","48","2","Then she continued, ‘One day our",Delhi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Nation,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1257","Sarna, Mohinder Singh",Basant The Fool,"5235","48","48","2","Then she continued, ‘One day our",Delhi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,Nation,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1258","Sarna, Mohinder Singh",Basant The Fool,"5236","48","48","3",No one from my side or my,Delhi in Basant The Fool,NA,NA,NA,NA,NA,NA,Nation,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1259","Sarna, Mohinder Singh",Basant The Fool,"5236","48","48","3",No one from my side or my,Delhi in Basant The Fool,NA,NA,NA,NA,NA,NA,Nation,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1260","Sarna, Mohinder Singh",Basant The Fool,"5237","48","49","4",My aunt and uncle have gone away,Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1261","Sarna, Mohinder Singh",Basant The Fool,"5237","48","49","4",My aunt and uncle have gone away,Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1262","Sarna, Mohinder Singh",Basant The Fool,"5238","49","49","1",I cleaned dirty dishes in ‘Pindi,Delhi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1263","Sarna, Mohinder Singh",Basant The Fool,"5238","49","49","1",I cleaned dirty dishes in ‘Pindi,Delhi in Basant The Fool,NA,Remembered,NA,NA,NA,NA,NA,"4586",Sarna,Mohinder Singh,NA,"44",Male,Single,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Sarna, Mohinder Singh in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
"1264","Sarna, Mohinder Singh",Basant The Fool,"5239","49","49","2",Ramu cleans our dirty dishes,Delhi in Basant The Fool,NA,Narrated,NA,NA,NA,NA,NA,"4619",Basant's Mother,Unknown,NA,"44",Female,Single,Sikh,Nominal,NA,NA,NA,NA,British India,Present,"Basant's Mother, Unknown in Basant The Fool",Delhi,Geographical reference,Unaffiliated,NA,TRUE,NA,Delhi,TRUE,India,"3167","Sarna, Mohinder Singh - Savage Harvest",Delhi,Male,British India,NA,"4849","3108","3152","3108"
